Sr.No.,Zone,Circle,Division
90,WEST,ETC Ghaziabad,400 kV S/S Div Muradnagar -II
91,WEST,ETC Ghaziabad,ETD Ghaziabad-I
92,WEST,ETC Ghaziabad,ETD Ghaziabad-II
93,WEST,ETC Ghaziabad,ETD Muradnagar
94,WEST,ETC Gr.Noida,400 kV S/S Div Gr. Noida
95,WEST,ETC Gr.Noida,400 kV S/S Div Gr. Noida
96,WEST,ETC Gr.Noida,ETD Bulandshahar
97,WEST,ETC Gr.Noida,ETD Hapur
98,WEST,ETC Gr.Noida,ETD Hapur
99,WEST,ETC Gr.Noida,ETD Khurja
100,WEST,ETC Meerut,ETD Baraut
101,WEST,ETC Meerut,ETD Meerut-I
102,WEST,ETC Meerut,ETD Meerut-II
103,WEST,ETC Moradabad-I,400kV S/S Div Moradabad
104,WEST,ETC Moradabad-I,ETD Moradabad-I
105,WEST,ETC Moradabad-I,ETD Moradabad-II
106,WEST,ETC Moradabad-I,ETD Rampur
107,WEST,ETC Moradabad-I,ETD Sambhal
108,WEST,ETC Morodabad-II,ETD Amroha
109,WEST,ETC Morodabad-II,ETD Bijnore
110,WEST,ETC Morodabad-II,ETD Dhampur
111,WEST,ETC Muzaffarnagar,400 kV S/S Div Muzaffarnagar
112,WEST,ETC Muzaffarnagar,ETD Muzaffarnagar
113,WEST,ETC Muzaffarnagar,ETD Saharanpur-I
114,WEST,ETC Muzaffarnagar,ETD Saharanpur-II
115,WEST,ETC Muzaffarnagar,ETD Shamli
116,WEST,ETC Noida,ETD Noida-I
117,WEST,ETC Noida,ETD Noida-II
118,WEST,PPP-PG(W),PGMSTL
119,WEST,PPP-PG(W),PGRSTL
120,WEST,PPP-WUPPTCL(W),PPP-WUPPTCL
