Sr.No.,Zone,Circle,Division,Substation,DistrictName
476,SOUTH-WEST,ETC Kanpur-I,"400 kV Div. Panki, Kanpur",400 KV S/S PANKI,Kanpur Nagar
477,SOUTH-WEST,ETC Kanpur-I,ETD Kanpur-I,220KV S/S KIDWAINAGAR,Kanpur Nagar
478,SOUTH-WEST,ETC Kanpur-I,ETD Kanpur-I,220KV S/S BITHOOR,Kanpur Nagar
479,SOUTH-WEST,ETC Kanpur-I,ETD Kanpur-I,220KV S/S PHOOLBAGH,Kanpur Nagar
480,SOUTH-WEST,ETC Kanpur-I,ETD Kanpur-I,220KV S/S R.P.H.,Kanpur Nagar
481,SOUTH-WEST,ETC Kanpur-I,ETD Kanpur-I,132KV S/S ARMAPUR,Kanpur Nagar
482,SOUTH-WEST,ETC Kanpur-I,ETD Kanpur-I,132KV S/S BILHAUR,Kanpur Nagar
483,SOUTH-WEST,ETC Kanpur-I,ETD Kanpur-I,132KV S/S DADANAGAR(IND.ESTATE),Kanpur Nagar
484,SOUTH-WEST,ETC Kanpur-I,ETD Kanpur-I,132KV S/S KANPUR(AZADNAGAR),Kanpur Nagar
485,SOUTH-WEST,ETC Kanpur-I,ETD Kanpur-I,220KV S/S SIKANDRA,Kanpur Dehat
486,SOUTH-WEST,ETC Kanpur-I,ETD Kanpur-I,220KV S/S RANIA,Kanpur Dehat
487,SOUTH-WEST,ETC Kanpur-I,ETD Kanpur-I,132KV S/S JAINPUR,Kanpur Dehat
488,SOUTH-WEST,ETC Kanpur-I,ETD Kanpur-I,132KV S/S PUKHRAYAN,Kanpur Dehat
489,SOUTH-WEST,ETC Kanpur-I,ETD Kanpur-I,132KV S/S RASOOLABAD,Kanpur Dehat
490,SOUTH-WEST,ETC Mathura,400 kV S/S Div. Agra (South),400KV S/S AGRA SOUTH (GIS),Agra
491,SOUTH-WEST,ETC Mathura,400 kV S/S Div. Agra (South),132KV S/S FATEHPUR SIKRI GIS,Agra
492,SOUTH-WEST,ETC Mathura,400 kV S/S Div. Agra (South),132KV S/S KIRAWALI,Agra
493,SOUTH-WEST,ETC Mathura,400 kV S/S Div. Agra (South),220KV S/S KIRAWALI-,Agra
494,SOUTH-WEST,ETC Mathura,ETD Hathras,220KV S/S MEETAI HATHRAS,Hathras
495,SOUTH-WEST,ETC Mathura,ETD Hathras,132KV S/S BAMAOLI,Hathras
496,SOUTH-WEST,ETC Mathura,ETD Hathras,132KV S/S ODPURA HATHRAS,Hathras
497,SOUTH-WEST,ETC Mathura,ETD Hathras,132KV S/S SADABAD,Hathras
498,SOUTH-WEST,ETC Mathura,ETD Hathras,132KV S/S SASNI,Hathras
499,SOUTH-WEST,ETC Mathura,ETD Mathura,400KV S/S MATH,Mathura
500,SOUTH-WEST,ETC Mathura,ETD Mathura,220KV S/S VRINDAVAN,Mathura
501,SOUTH-WEST,ETC Mathura,ETD Mathura,220KV S/S MATH,Mathura
502,SOUTH-WEST,ETC Mathura,ETD Mathura,220KV S/S GOKUL(MATHURA),Mathura
503,SOUTH-WEST,ETC Mathura,ETD Mathura,220KV S/S CHHATA,Mathura
504,SOUTH-WEST,ETC Mathura,ETD Mathura,132KV S/S KOSIKALAN(UPSIDC),Mathura
505,SOUTH-WEST,ETC Mathura,ETD Mathura,132KV S/S FARAH,Mathura
506,SOUTH-WEST,ETC Mathura,ETD Mathura,132KV S/S KOSIKALAN,Mathura
507,SOUTH-WEST,ETC Mathura,ETD Mathura,132KV S/S MATH,Mathura
508,SOUTH-WEST,ETC Mathura,ETD Mathura,132KV S/S MATHURA,Mathura
509,SOUTH-WEST,ETC Mathura,ETD Mathura,132KV S/S MATHURA-2,Mathura
510,SOUTH-WEST,ETC Mathura,ETD Mathura,132KV S/S SONKH ROAD,Mathura
511,SOUTH-WEST,ETC Mathura,ETD Mathura,132KV S/S VRINDAWAN,Mathura
512,SOUTH-WEST,ETC Mathura,ETD Mathura,132 KV Substation Vrindavan,Mathura
513,SOUTH-WEST,ETC Mathura,ETD Mathura,132 KV Substation Mathura-II,Mathura
514,SOUTH-WEST,ETC Mathura,ETD Mathura,132 KV Substation Sonkh Road,Mathura
515,SOUTH-WEST,ETC Mathura,400KV S/S Division maant,Electricity 400KV S/S Manth (Mathura),Mathura
516,SOUTH-WEST,ETC Kanpur-II,ETD Etawah,132KV S/S AURAIYA,Auraiya
517,SOUTH-WEST,ETC Kanpur-II,ETD Etawah,132KV S/S DIBIYAPUR,Auraiya
518,SOUTH-WEST,ETC Kanpur-II,ETD Etawah,220KV S/S BHARTHANA,Etawah
519,SOUTH-WEST,ETC Kanpur-II,ETD Etawah,220KV S/S SEFAI NEW,Etawah
520,SOUTH-WEST,ETC Kanpur-II,ETD Etawah,132KV S/S BIDHUNA,Auraiya
521,SOUTH-WEST,ETC Kanpur-II,ETD Etawah,132KV S/S CHAKARNAGAR,Etawah
522,SOUTH-WEST,ETC Kanpur-II,ETD Etawah,132KV S/S JASWANTNAGAR,Etawah
523,SOUTH-WEST,ETC Kanpur-II,ETD Etawah,"132KV S/S KUNERA,ETAWAH",Etawah
524,SOUTH-WEST,ETC Kanpur-II,ETD Etawah,132KV S/S TAKHA,Etawah
525,SOUTH-WEST,ETC Kanpur-II,ETD Fatehgarh,220KV S/S NIBKARORI,Farrukhabad
526,SOUTH-WEST,ETC Kanpur-II,ETD Fatehgarh,132KV S/S FATEHGARH(FARRUKHABAD),Farrukhabad
527,SOUTH-WEST,ETC Kanpur-II,ETD Fatehgarh,132KV S/S KAYAMGANJ,Farrukhabad
528,SOUTH-WEST,ETC Kanpur-II,ETD Fatehgarh,400KV S/S FARRUKHABAD(GREEN COR.),Farrukhabad
529,SOUTH-WEST,ETC Kanpur-II,ETD Fatehgarh,220KV S/S FARRUKHABAD (BHOJPUR),Farrukhabad
530,SOUTH-WEST,ETC Kanpur-II,ETD Fatehgarh,220KV S/S CHHIBRAMAU,Kannauj
531,SOUTH-WEST,ETC Kanpur-II,ETD Fatehgarh,132KV S/S TAALGRAM,Kannauj
532,SOUTH-WEST,ETC Kanpur-II,ETD Fatehgarh,132KV S/S KANNAUJ,Kannauj
533,SOUTH-WEST,ETC Kanpur-II,ETD Fatehgarh,132 KV S/S NEEBKARORI,Farrukhabad
534,SOUTH-WEST,ETC Kanpur-II,ETD Kanpur-II,220KVKANPURSOUTH,Kanpur Nagar
535,SOUTH-WEST,ETC Kanpur-II,ETD Kanpur-II,220KVNAUBASTA,Kanpur Nagar
536,SOUTH-WEST,ETC Kanpur-II,ETD Kanpur-II,220KVSARH,Kanpur Nagar
537,SOUTH-WEST,ETC Kanpur-II,ETD Kanpur-II,132KVGHATAMPUR,Kanpur Nagar
538,SOUTH-WEST,ETC Kanpur-II,ETD Kanpur-II,132KVKRISHNANAGAR,Kanpur Nagar
539,SOUTH-WEST,ETC Kanpur-II,ETD Kanpur-II,132KVMSKP,Kanpur Nagar
540,SOUTH-WEST,PPP-SEUPPTCL(SW),PPP-SEUPPTCL,765KV S/S MAINPURI (PPP),Mainpuri
541,SOUTH-WEST,PPP-PG(SW),PGJFTL,400KV S/S FIROZABAD (PPP),Firozabad
