S.No.,Zone,Circle,Division,Substation,FeederBay,EnergyMeterSerialNo,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
,,,,,,,,,,,,MAHARAJPUR_24935,1332,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,GUBROTH_24501,771,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BHADORA_24376,414,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,HIMAUPUR_24516,957,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MURAVAL_24681,809,EDD III AGRA,DAKSHINANCHAL
46,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S FATEHABAD,33KV FATEHABAD,KAU06340,T-D,July,2024,0,3855.6,MAZARA_24665,917,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,FATEHABAD_24471,3085,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,NIBOHRA_24724,1562,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BEHADI_24369,1079,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,WAZIDPUR_24927,817,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MAHARAJPUR_24935,1332,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,GUBROTH_24501,771,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BHADORA_24376,414,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,HIMAUPUR_24516,957,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MURAVAL_24681,809,EDD III AGRA,DAKSHINANCHAL
56,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S FATEHABAD,33KV BILAIPURA,KAU06335,T-D,July,2024,0,3508,MAZARA_24665,917,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,NIBOHRA_24724,1562,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BEHADI_24369,1079,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,WAZIDPUR_24927,817,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MAHARAJPUR_24935,1332,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BILAIPURA_24396,1634,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,GUBROTH_24501,771,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BHADORA_24376,414,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,HIMAUPUR_24516,957,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MURAVAL_24681,809,EDD III AGRA,DAKSHINANCHAL
66,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S FATEHABAD,33KV WAZIDPUR,X0479577,T-D,July,2024,0,2705.2,MAZARA_24665,917,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,NIBOHRA_24724,1562,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BEHADI_24369,1079,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,WAZIDPUR_24927,817,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MAHARAJPUR_24935,1332,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,GUBROTH_24501,771,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BHADORA_24376,414,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,HIMAUPUR_24516,957,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MURAVAL_24681,809,EDD III AGRA,DAKSHINANCHAL
75,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S FATEHABAD,33KV I.P.D.S FATEHABAD,X0479576,T-D,July,2024,0,3074.2,MAZARA_24665,917,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,NIBOHRA_24724,1562,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BEHADI_24369,1079,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,WAZIDPUR_24927,817,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MAHARAJPUR_24935,1332,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,GUBROTH_24501,771,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BHADORA_24376,414,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,HIMAUPUR_24516,957,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MURAVAL_24681,809,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,FATEHABAD TOWN_22243,3076,EDD III AGRA,DAKSHINANCHAL
85,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S FATEHABAD,33KV JACK BUS,KAU06337,T-D,July,2024,0,0,,,,
86,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S FATEHABAD,63MVA T/F 1 (781),UP1776A,T-D,July,2024,11159.63,0,,,,
87,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S FATEHABAD,63MVA T/F 2 (782),UP3200A,T-D,July,2024,9875.63,0,,,,
88,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S KHERAGARH,33KV KHERAGARH,XB541651,T-D,July,2024,0,3638,KHERAGARH_22407,3638,EDD KHERAGARH,DAKSHINANCHAL
,,,,,,,,,,,,AYELA_24320,1308,EDD KHERAGARH,DAKSHINANCHAL
90,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S KHERAGARH,33KV JAGNER,XB541662,T-D,July,2024,0,3055.6,JAGNER_22321,3055,EDD KHERAGARH,DAKSHINANCHAL
91,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S KHERAGARH,33KV NAGLA KAMAL,XB541661,T-D,July,2024,0,1035.6,SARENDHI_24839,2794,EDD KHERAGARH,DAKSHINANCHAL
,,,,,,,,,,,,NAGLA KAMAAL_24695,1036,EDD KHERAGARH,DAKSHINANCHAL
93,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S KHERAGARH,33KV TANTPUR,XB541669,T-D,July,2024,0,2186.8,TANTPUR_24891,2222,EDD KHERAGARH,DAKSHINANCHAL
94,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S KHERAGARH,33KV AYELLA,XB541648,T-D,July,2024,0,1307.6,,,,
95,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S KHERAGARH,33KV JACK BUS,XB541668,T-D,July,2024,0,35.2,,,,
96,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S KHERAGARH,33 KV FEEDER SARENDHI,XB541658,T-D,July,2024,0,2793.6,,,,
97,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV ASFABAD BAY FZD,9577836,T-D,July,2024,0,6586.8,ASFABAD_20033,6587,EUDD II FIROZABAD,DAKSHINANCHAL
98,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV LABOUR COLONY BAY FZD,UPE05794,T-D,July,2024,0,248.28,LABOUR COLONY_20039,4251,EUDD I FIROZABAD,DAKSHINANCHAL
,,,,,,,,,,,,RAM NAGAR_20040,3318,EUDD I FIROZABAD,DAKSHINANCHAL
,,,,,,,,,,,,RAM NAGAR-II_20205,898,EUDD I FIROZABAD,DAKSHINANCHAL
101,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV PURSHOTTAM VIHAR BAY FZD,9577837,T-D,July,2024,0,7597.2,PURSHOTTAM VIHAR_20034,7597,EUDD II FIROZABAD,DAKSHINANCHAL
102,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV DM COMPLEX BAY FZD,UPE05795,T-D,July,2024,0,3914.4,DABARAI_24444,3914.4,EDD FIROZABAD,DAKSHINANCHAL
103,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV MATSENA BAY FZD,DM531,T-D,July,2024,0,1480.8,MATSENA_24662,1481,EDD FIROZABAD,DAKSHINANCHAL
104,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV RASOOLPUR BAY FZD,5267382,T-D,July,2024,0,5825.06,RASULPUR_20035,5825,EUDD I FIROZABAD,DAKSHINANCHAL
105,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV UPSIDC BAY FZD N,5267386,T-D,July,2024,0,4653,UPSIDC_24946,4579,EDD FIROZABAD,DAKSHINANCHAL
106,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV DABRAI COURT FEEDER FZD,5267384,T-D,July,2024,0,72.54,,,,
107,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV JACK BUS,UPE41026,T-D,July,2024,0,8184.24,ASFABAD_20033,6587,EUDD II FIROZABAD,DAKSHINANCHAL
,,,,,,,,,,,,S. N. HOSPITAL_20036,7121,EUDD II FIROZABAD,DAKSHINANCHAL
109,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV SN HOSPITAL BAY,F31/6377/299,T-D,July,2024,0,6996,,,,
110,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33 KV SHUAG.NAGAR BAY,F31/6394/299,T-D,July,2024,0,6018,,,,
111,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV RAIPURA,UPE/05794,T-D,July,2024,0,3537.96,REPURA_24800,3537.96,EDD FIROZABAD,DAKSHINANCHAL
112,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV INDUESTRIAL.ESTATE.,F31/6332/299,T-D,July,2024,0,4038.8,GANDHI PARK_20037,3269,EUDD I FIROZABAD,DAKSHINANCHAL
,,,,,,,,,,,,SUHAG NAGAR_20041,3094,EUDD I FIROZABAD,DAKSHINANCHAL
114,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV SUN GLASS BAY,5775A,T-D,July,2024,0,1465.26,,,,
115,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33 KV PAIDAT / UDESER,KAU04878,T-D,July,2024,0,2868,PAINDAT_24745,1402.5,EDD JASRANA,DAKSHINANCHAL
,,,,,,,,,,,,UDESSAR_24906,1465.62,EDD JASRANA,DAKSHINANCHAL
117,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33 KV EKA - PADHAM,KAB04480,T-D,July,2024,0,4098,EKA_24466,2658.32,EDD JASRANA,DAKSHINANCHAL
,,,,,,,,,,,,PADHAM_24739,2525.56,EDD JASRANA,DAKSHINANCHAL
119,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33 KV PRATAPPUR,9540004,T-D,July,2024,0,2056,PRATAPPUR_24779,2156,EDD JASRANA,DAKSHINANCHAL
120,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33 KV MUSTFABAD,KAU04881,T-D,July,2024,0,2000,MUSTAFABAD_24685,2000,EDD JASRANA,DAKSHINANCHAL
121,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33 KV JASARANA R/L,KAB04479,T-D,July,2024,0,2776,BAJHERA BUZURG_24334,756,EDD SHIRSAGANJ,DAKSHINANCHAL
,,,,,,,,,,,,JASRANA RURAL_24549,2600,EDD JASRANA,DAKSHINANCHAL
123,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33 KV JASRANA TOWN,KAU04948,T-D,July,2024,0,1158,SUBSTSTION JASRANA_22342,1158,EDD JASRANA,DAKSHINANCHAL
124,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33 KV JACK BUS,KAB04482,T-D,July,2024,0,1608,,,,
125,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33 KV BHADANA,9540020,T-D,July,2024,0,2472,BHADANA_24374,2472,EDD JASRANA,DAKSHINANCHAL
,,,,,,,,,,,,KHAIRGARH_24586,2046,EDD JASRANA,DAKSHINANCHAL
127,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33 KV BANVARA,5266711,T-D,July,2024,0,1936,BANWARA_24346,1244.54,EDD JASRANA,DAKSHINANCHAL
,,,,,,,,,,,,ITOLY_24529,691.46,EDD JASRANA,DAKSHINANCHAL
129,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33 KV FARIHA,9540005,T-D,July,2024,0,1812,FARIHA_22242,1892,EDD JASRANA,DAKSHINANCHAL
130,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33KV KHAIRGARH,5266703,T-D,July,2024,0,2046,,,,
131,SOUTH-WEST,ETC Aligarh,ETD Aligarh-II,220KV S/S ATRAULI,Jirauli,UPE41281,T-D,July,2024,0,6746.04,JIRAULI_24556,3006,EDD II ALIGARH,DAKSHINANCHAL
,,,,,,,,,,,,ATRAULI(NEW)_24316,3700,EDD II ALIGARH,DAKSHINANCHAL
133,SOUTH-WEST,ETC Aligarh,ETD Aligarh-II,220KV S/S ATRAULI,Bhudansi,UPC89378,T-D,July,2024,0,5535.8,CHANDOLA SUJANPUR_24421,3084,EDD II ALIGARH,DAKSHINANCHAL
,,,,,,,,,,,,BHUDHANSI_24392,2416,EDD III ALIGARH,DAKSHINANCHAL
135,SOUTH-WEST,ETC Aligarh,ETD Aligarh-II,220KV S/S ATRAULI,Chharra,UPE41280,T-D,July,2024,0,6639.48,CHHARRA RAFATPUR_22194,6604,EDD II ALIGARH,DAKSHINANCHAL
136,SOUTH-WEST,ETC Aligarh,ETD Aligarh-II,220KV S/S ATRAULI,BADESARA,UPE41284,T-D,July,2024,0,4726,BADHESRA_24329,4701,EDD II ALIGARH,DAKSHINANCHAL
137,SOUTH-WEST,ETC Aligarh,ETD Aligarh-II,220KV S/S ATRAULI,GODHA,10291373,T-D,July,2024,0,4807.2,KAZIMABAD_24583,2428,EDD II ALIGARH,DAKSHINANCHAL
,,,,,,,,,,,,GODHA_24495,2346,EDD III ALIGARH,DAKSHINANCHAL
139,SOUTH-WEST,ETC Aligarh,ETD Aligarh-II,220KV S/S ATRAULI,ARNI,10291299,T-D,July,2024,0,3914.6,SINGHPUR_24868,2317,EDD II ALIGARH,DAKSHINANCHAL
,,,,,,,,,,,,ARNI_24311,1571,EDD VI ALIGARH,DAKSHINANCHAL
141,SOUTH-WEST,ETC Aligarh,ETD Aligarh-II,220KV S/S ATRAULI,BARLA,10291246,T-D,July,2024,0,2807.2,GAZIPUR_24488,3100,EDD II ALIGARH,DAKSHINANCHAL
142,SOUTH-WEST,ETC Aligarh,ETD Aligarh-II,220KV S/S ATRAULI,UBIO,UPC89413,T-D,July,2024,0,3078,,,,
143,SOUTH-WEST,ETC Aligarh,ETD Aligarh-II,220KV S/S ATRAULI,5MVA,UPE57997,T-D,July,2024,0,1432.71,ATRAULI_20099,4408,EDD II ALIGARH,DAKSHINANCHAL
144,SOUTH-WEST,ETC Aligarh,ETD Aligarh-II,220KV S/S ATRAULI,10MVA,UPE41178,T-D,July,2024,0,2995.5,ATRAULI_20099,4408,EDD II ALIGARH,DAKSHINANCHAL
145,SOUTH-WEST,ETC Aligarh,ETD Aligarh-II,220KV S/S ATRAULI,ATRAULI TAHSIL,UPC89394,T-D,July,2024,0,2082,GANIYAWALI_24484,2066,EDD II ALIGARH,DAKSHINANCHAL
146,SOUTH-WEST,ETC Aligarh,ETD Aligarh-II,220KV S/S ATRAULI,GRASIM CEMENT,UPP-68834,T-D,July,2024,0,2334.24,,,,
147,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,"132KV S/S ALIGANJ,ETAH",33 KV Jaithara,7033833,T-D,July,2024,0,4809.4,JASRATHPUR_24932,1472.4,EDD I ETAH,DAKSHINANCHAL
,,,,,,,,,,,,JAITHRA_22328,3337,EDD I ETAH,DAKSHINANCHAL
,,,,,,,,,,,,VERNA_24924,1001.2,EDD I ETAH,DAKSHINANCHAL
150,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,"132KV S/S ALIGANJ,ETAH",33 KV Raja Ka Ram Pur,7033917,T-D,July,2024,0,2349,RAJA KA RAMPUR_22631,1839.8,EDD I ETAH,DAKSHINANCHAL
,,,,,,,,,,,,RAJA KA RAMPUR_22631,340.3,EDD KASGANJ RURAL,DAKSHINANCHAL
152,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,"132KV S/S ALIGANJ,ETAH",33 KV Aliganj Town,7033830,T-D,July,2024,0,2677.6,ALIGANJ -TOWN_22029,2677.6,EDD I ETAH,DAKSHINANCHAL
153,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,"132KV S/S ALIGANJ,ETAH",33 KV Aliganj RL,7033831,T-D,July,2024,0,4395.2,ALIGANJ RL_24928,4395.2,EDD I ETAH,DAKSHINANCHAL
154,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,"132KV S/S ALIGANJ,ETAH",33 KV Sahori,7041831,T-D,July,2024,0,1614.2,SAHORI_24816,1325.2,EDD I ETAH,DAKSHINANCHAL
155,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,"132KV S/S ALIGANJ,ETAH",33 KV Sarauth,7033561,T-D,July,2024,0,2043.2,SAROTH_24841,1042,EDD I ETAH,DAKSHINANCHAL
156,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,"132KV S/S ALIGANJ,ETAH",33 KV Saray Agahat,4937759,T-D,July,2024,0,1248.5,SARAI AGAHAT_24832,1248.5,EDD I ETAH,DAKSHINANCHAL
157,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,"132KV S/S ALIGANJ,ETAH",33 KV TBC,4937757,T-D,July,2024,0,196.8,,,,
158,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S NIDHAULIKALAN,Awagarh,XD508929,T-D,July,2024,0,6327,AWAGARH_22063,6327,EDD I ETAH,DAKSHINANCHAL
159,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S NIDHAULIKALAN,Issara,Y0197720,T-D,July,2024,0,1187.2,ISHARA (SAKIT)_24527,629,EDD I ETAH,DAKSHINANCHAL
,,,,,,,,,,,,ISHARA_24526,558.2,EDD II ETAH,DAKSHINANCHAL
161,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S NIDHAULIKALAN,Nidhauli kalan,Y0197686,T-D,July,2024,0,3470,NIDHAULI KALAN_22558,3470,EDD I ETAH,DAKSHINANCHAL
162,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S NIDHAULIKALAN,33 KV TBC,Y0197687,T-D,July,2024,0,0,,,,
163,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S NIDHAULIKALAN,Gadanpur,XD508946,T-D,July,2024,0,2096.6,UDESAR (GADANPUR)_24905,2096.6,EDD I ETAH,DAKSHINANCHAL
164,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S KASGANJ,33kv Salempur Bibi,XG485937,T-D,July,2024,0,402.5,SALEMPUR BIBI_24826,402.5,EDD KASGANJ RURAL,DAKSHINANCHAL
165,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S KASGANJ,33kv Soron Rl,XG485936,T-D,July,2024,0,2678,SORON RURAL_24880,2678,EDD KASGANJ RURAL,DAKSHINANCHAL
166,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S KASGANJ,33kv Collectrate,XG485930,T-D,July,2024,0,67,COLLECTRATE_24443,134,EDD KASGANJ RURAL,DAKSHINANCHAL
167,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S KASGANJ,33kv Manpur Nagariya,XG485933,T-D,July,2024,0,0,NAGARIYA_24691,1568.1,EDD KASGANJ RURAL,DAKSHINANCHAL
168,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S KASGANJ,33kv Bus Coupler,XG485931,T-D,July,2024,0,0,,,,
169,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S KASHGANJ,10MVA T/F,UPE41434,T-D,July,2024,0,2314.56,BHITONA (10 MVA )_20127,2314.6,EDD KASGANJ,DAKSHINANCHAL
170,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S KASHGANJ,33KV DIST COURT,XD508905,T-D,July,2024,0,31.4,,,,
171,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S KASHGANJ,33KV SORON MELA,XD508906,T-D,July,2024,0,1981.55,SORON MELAGROUND_22744,1981.6,EDD KASGANJ RURAL,DAKSHINANCHAL
172,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S KASHGANJ,33 kV TAYAL ISPAT,UPP59144,T-D,July,2024,0,141.9,,,,
173,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S KASHGANJ,33KV BILRAM,XG485959,T-D,July,2024,0,5339.5,SUBSTATION BILRAM_22158,2914.5,EDD KASGANJ,DAKSHINANCHAL
,,,,,,,,,,,,NAGLA PEEPAL_24697,2425,EDD KASGANJ,DAKSHINANCHAL
175,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S KASHGANJ,33 kV STERLING AGRO,9577747,T-D,July,2024,0,613.8,,,,
176,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S KASHGANJ,33KV NAGARIYA,KAB04513,T-D,July,2024,0,0,,,,
177,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S KASHGANJ,33KV PRABHU PARK,X1944138,T-D,July,2024,0,3789.2,PRABHU PARK_20125,3789.2,EDD KASGANJ,DAKSHINANCHAL
178,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S KASHGANJ,33KV NAMENI,XG485958,T-D,July,2024,0,2149,NAMAINI_24703,2149,EDD KASGANJ,DAKSHINANCHAL
179,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S KASHGANJ,33KV BILRAM GATE TOWN,KAB04516,T-D,July,2024,0,2179.9,,,,
180,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S KASHGANJ,33KV KASGANJ TOWN,KAB04512,T-D,July,2024,0,0,KASGANJ NAGAR_24264,2179.9,EDD KASGANJ,DAKSHINANCHAL
181,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S KASHGANJ,8MVA T/F,UPE41435,T-D,July,2024,0,2818.08,BHITONA (8 MVA )_20127,2818.1,EDD KASGANJ,DAKSHINANCHAL
182,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S KASHGANJ,33KV KASGANJ RURAL,XD508907,T-D,July,2024,0,5812.6,BHITONA NO. 09_20126,5812.6,EDD KASGANJ,DAKSHINANCHAL
183,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S KASHGANJ,33 kV Collectrate,UPE 41444,T-D,July,2024,0,1568.1,,,,
